focal_code,short_name,industry_d,product_text,llm_peer_1_code,llm_peer_1_name,llm_peer_2_code,llm_peer_2_name,llm_peer_3_code,llm_peer_3_name,llm_peer_4_code,llm_peer_4_name,llm_peer_5_code,llm_peer_5_name,coder_notes
000032,,建筑安装业,通信设备、计算机及软件、办公室自动化设备等。研发、生产、销售通信设备、交通通讯设备(生产场地营业执照另行办理)、计算机及软件、办公自动化设备、机械、光机电一体化设备、电子检测设备、税控设备、税控收款机(不含限制项目)、半导体照明产品;电子信息系统工程、建筑智能化工程、机电设备安装工程、变配电工程的规划、设计、安装、调试、集成及技术咨询服务;智能交通设备及产品、通信设备及产品、安防监控系统产品的技术开发、生产制造、调试、销售;软件及网络通讯产品的技术开发、技术服务、技术咨询;监控系统项目的设计、开发、咨询;国内商业、物资供销业(不含专营、专卖、专控商品);进出口业务按深贸管审证字第523号外贸企业审定证书规定办理;在合法取得使用权的土地上从事房地产开发经营物业管理及自有物业租赁;兴办实业(具体项目另行申报);仓储服务、国内外货物运输及代理服务(需许可经营项目另行办理申请);大数据服务;数据处理和存储支持服务;计算机系统服务;互联网安全服务;信息系统集成服务;软件销售;互联网数据服务;软件开发;信息技术咨询服务;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。(除依法须经批准的项目外凭营业执照依法自主开展经营活动)。,,,,,,,,,,,
000034,,批发业,1、通讯服务运营、数据与语音服务、通讯设备的研制、开发、生产与销售、软件开发；2、经营国内商业、物资代销业；3、进出口贸易。。(一)计算机硬件及配套零件的研究、开发;网络产品、多媒体产品、电子信息产品及通讯产品、办公自动化设备、仪器仪表、电器及印刷照排设备、计算机应用系统的安装和维修;自产产品的技术咨询、技术服务、技术转让(法律、行政法规、国务院决定禁止的项目除外限制的项目须取得许可后方可经营);经营进出口业务(法律、行政法规、国务院决定禁止的项目除外限制的项目须取得许可后方可经营);计算机硬件、软件及外围设施的代理销售;销售自产产品;(二)通信设备、电子、计算机配件的技术开发;计算机软件、信息技术、系统集成、办公自动化、综合布线技术的研发(不含限制项目);(三)投资兴办实业(具体项目另行申报);在合法取得使用权的土地上从事房地产开发经营。,,,,,,,,,,,
000037,,电力、热力生产和供应业,热电供应及有关工程承包。。生产经营供电供热、从事发电厂(站)相关技术咨询和技术服务等。,,,,,,,,,,,
000039,,金属制品业,干货集装箱制造。。集装箱、道路运输车辆、能源/化工/液态食品装备、海洋工程装备、空港与物流装备/消防与救援设备的制造及服务业务包括国际标准干货集装箱、冷藏集装箱、特种集装箱、罐式集装箱、天然气/工业气体/氢气等储罐及运输罐车、生物发酵液体食品交钥匙工程、半挂车产品、专用车上装、自升式钻井平台、半潜式钻井平台、特种船舶、海上风电安装船、旅客登机桥及桥载设备、机场地面支持设备、消防及救援车辆设备、自动化物流系统等。,,,,,,,,,,,
000045,,计算机、通信和其他电子设备制造业,纺织品及相关业务，农副产品、化工产品等。。生产、经营偏光片等光学膜产品;酒店、物业租赁与经营管理;生产、加工纺织品、针织品、服装、装饰布、带、商标带、工艺品(不含限制项目);百货、纺织工业专用设备、纺织器材及配件、仪表、标准件、纺织原材料、染料、电子产品、化工产品、机电设备、轻纺产品、办公用品及国内贸易(不含专营、专控、专卖商品);经营进出口业务。,,,,,,,,,,,
000048,,畜牧业,鸡禽、饲料等。。一般经营项目:养殖鸡、鸡苗、禽蛋、生产制造肉制品、饮料、鸡场设备、自酿鲜啤、兴办实业(具体项目另行申报);国内商业、物资供销业(不含专营、专控、专卖商品);货物及技术进出口;在合法取得使用权的土地上从事房地产开发经营;房屋租赁。工程和技术研究和试验发展;农业科学研究和试验发展;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;软件开发;食用农产品初加工;生物饲料研发;农林废物资源化无害化利用技术研发。(除依法须经批准的项目外凭营业执照依法自主开展经营活动)许可经营项目:畜禽养殖、销售;良种繁育;生猪屠宰;肉制品包装、冷藏、运输;饲料加工;食品生产。(依法须经批准的项目经相关部门批准后方可开展经营活动具体经营项目以相关部门批准文件或许可证件为准),,,,,,,,,,,
000049,,电气机械和器材制造业,无汞碱锰电池、一次锂电池、锌空气电池、镍氢电、锂聚合物电池、燃料电池及其他种类电池、电池材料、配件和设备的技术开发和销售；电源管理系统和新型电子元器件的技术开发、测试及销售；移动通讯产品及配件的技术开发及销售。。无汞碱锰电池、一次锂电池、锌空气电池、镍氢电池、锂聚合物电池、燃料电池及其他种类电池、电池材料、配件和设备的研究、开发和销售;电源管理系统和新型电子元器件的开发、测试及销售;移动通讯产品及配件的开发及销售;高科技项目开发、投资、咨询高科技企业投资。,,,,,,,,,,,
000050,,计算机、通信和其他电子设备制造业,液晶显示器及相关材料。。显示器件及相关的材料、设备、产品的设计、制造、销售;提供相关技术开发、技术咨询、技术服务和技术转让;信息技术服务、咨询服务;普通货运;代理销售、代理采购显示器件及相关材料(不含限制项目);设备租赁(不含金融租赁);自有物业租赁;经营进出口业务(法律、行政法规、国务院决定禁止的项目除外限制的项目须取得许可后方可经营)。,,,,,,,,,,,
000055,,金属制品业,建筑幕墙系统及材料、轨道交通设备(地铁屏蔽门等)。。(1)幕墙分部生产及销售幕墙材料、建筑幕墙设计、制作和安装幕墙检测维保服务;(2)轨道交通分部装配、加工地铁屏蔽门屏蔽门检测维保服务;(3)房地产分部在合法取得使用权的土地上从事房地产开发经营、物业管理;(4)新能源分部光伏电站发电、光伏电站销售;光伏设备的研发、安装、销售光伏电站工程的设计、安装。,,,,,,,,,,,
000056,,商务服务业,百货的零售与批发;商业地产。。经销日用百货、文化用品、纺织品、服装、劳保用品、家用电子产品、交通器材、五金工具、家用电器、日用美术陶瓷、家具、糖果糕点、饮料、干鲜果品、进出口业务按深贸管审证字第012号外贸企业审定证书办理(凡属专营商品按规定办)、土产品、装饰材料、糖、工艺美术品、副食品、五金杂品。,,,,,,,,,,,
000058,,商务服务业,国内商业、物资供销业。经营与管理电子市场、物业经营管理与城市服务、新能源、检验检测及房地产开发。,,,,,,,,,,,
000059,,石油、煤炭及其他燃料加工业,化学肥料及其他化工产品。。主要产品包括原油加工及石油制品、聚烯烃类产品、聚烯烃类产品、聚烯烃类产品、ABS制品及副品、丁二烯、尿素等产品。,,,,,,,,,,,
000060,,有色金属冶炼和压延加工业,铅锌精矿开采及冶炼，有色金属贸易等。。铅锌铜等有色金属的采矿、选矿、冶炼和深加工一体化生产、贸易、金融、期货经纪及投资业务。公司主要产品有铅锌精矿、铜精矿、铅锭、锌锭及锌合金、阴极铜、白银、黄金、镉锭、锗锭、铟锭、工业硫酸、硫磺等产品。,,,,,,,,,,,
000061,,商务服务业,农产品的经营和管理。。农产品批发市场的开发、建设、经营和管理业务范围涉及农产品基地种植、城市食材配送、进出口等农产品产业链服务。,,,,,,,,,,,
000062,,批发业,计算机软、硬件及网络、通信产品。。面向电子信息产业链的现代高端服务业为产业链上的各环节提供销售、采购、产品、技术、信息、仓储、物流和数智赋能等综合服务。,,,,,,,,,,,
000063,,计算机、通信和其他电子设备制造业,信息产业、通讯及电子设备、计算机系统的硬件、软件等。。综合通信与信息技术解决方案提供商,,,,,,,,,,,
000065,,批发业,铝型材、铝门窗、铝制品、建筑幕墙和室内外装饰工程设计制作施工等。。各类型工业、能源、交通、民用工程建设项目的施工总承包;承包境外工程及境内国际招标工程;上述境外工程所需的设备、材料出口;对外派遣实施上述境外工程所需的劳务人员;自营和代理各类商品及技术的进出口业务但国家限定公司经营或禁止进出口的商品及技术除外;经营进料加工和三来一补业务;经营对销贸易和转口贸易;铝型材、铝门窗、铝制品、建筑幕墙和室内外装饰工程设计、制作、施工、机械安装及修理。,,,,,,,,,,,
000066,,计算机、通信和其他电子设备制造业,电子计算机硬件、软件系统及配套零部件等。。计算机软件、硬件、终端及其外部设备、网络系统及系统集成、电子产品及零部件、金融机具、税控机具、计量仪表、安防产品、移动通讯设备、通信及网络产品、数字音视频产品的技术开发、销售及售后服务并提供相关的技术和咨询服务;自营进出口业务;房屋、设备等固定资产租赁;物业管理及相关服务业务。,,,,,,,,,,,
000069,,房地产业,旅游业及与旅游配套的供水、供电、水电安装维修。。主题公园、酒店服务、房地产开发等。,,,,,,,,,,,
000070,,计算机、通信和其他电子设备制造业,通信材料（光纤预制棒、光纤、光缆）生产销售。。光纤、光缆、光纤预制棒、电子元器件、通讯设备、光器件、配线产品、宽带多媒体设备、光网络单元、高低压配电产品、开关电源、智能监控产品、在线监控系统、光纤传感系统及设备、智能终端产品的生产、销售;消防电子产品、安防产品及系统的设计、生产及销售;电器设备、仪器仪表、机械设备、通信终端产品的设计、生产及销售;数据中心系列产品的研发、销售、安装和维护;智能弱电及数据中心工程的技术咨询、设计、施工及维护;综合布线产品、电力电缆、电力通信光缆、金具及附件、导线、铝包钢绞线、光纤复合电缆的生产(生产项目另办执照);通信设备系统工程(含物联网智能管理系统)的设计、安装、维护、调试咨询计算机软硬件技术及软件工程的开发、销售、服务;信息科技领域光电器件技术和产品的研制、生产、销售及技术服务;计算机网络系统集成、通讯信息服务(不含限制项目);节能技术服务(不含限制项目);输变电、配电、通信工程总承包;设备租赁;国内贸易(不含专营、专控、专卖商品);在网上从事商贸活动(不含限制项目);电子产品技术开发与销售;经营进出口业务(法律、行政法规、国务院决定禁止的项目除外限制的项目须取得许可后方可经营);自动化设备应用技术的开发;自有物业租赁经营。(以上生产项目另办执照);电线、电缆经营。(除依法须经批准的项目外凭营业执照依法自主开展经营活动);技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;输配电及控制设备制造;智能输配电及控制设备销售。(除依法须经批准的项目外凭营业执照依法自主开展经营活动)机动车辆停放服务。电线、电缆制造。(依法须经批准的项目经相关部门批准后方可开展经营活动具体经营项目以相关部门批准文件或许可证件为准)。主要产品或提供的劳务:光纤、光缆、电力缆、室内缆、通讯设备及通讯系统集成及技术服务;军用航空通讯设备、数据记录仪、弹载计算机;无源光纤网络终端、无线路由器、IPTV机顶盒、分离器和智能路由器等产品。,,,,,,,,,,,
000090,,土木工程建筑业,市政工程、建筑施工和房地产开发。。投资兴办工业实业;国内商业、物资供销业(不含专营、专卖、专控商品);开展对外经济技术合作业务(按中华人民共和国对外贸易经济合作部2000外经贸发展审函字第913号文规定办理);自有物业租赁。房地产开发经营。,,,,,,,,,,,
000100,,计算机、通信和其他电子设备制造业,业务主要涉及多媒体电子、通讯、家电、信息、电工和部品等六大产业群。。半导体显示、新能源光伏及其他硅材料、产业金融及其他业务板块。,,,,,,,,,,,
000156,,电信、广播电视和卫星传输服务,有线电视网络业务、全国范围内的新媒体业务、宽带网络及智慧城市业务。。有线电视、数字电视网络、宽带网络运营及产业投资数字通信产业投资互联网及电视传媒信息服务产业投资。,,,,,,,,,,,
000157,,专用设备制造业,开发、生产、销售建筑业重大装备及新材料。。工程机械和农业机械的研发、制造、销售和服务。,,,,,,,,,,,
000158,,软件和信息技术服务业,纯棉纱线、涤棉混纺纱线、纯棉坯布、涤棉混纺交织坯布等的生产和销售。。计算机软件技术开发、技术服务、技术咨询棉花、办公设备、电子元器件、通信设备、计算机及零配件、计算机软件、仪器仪表、光伏设备的批发零售;通信设备、计算机零配件的租赁计算机系统集成;自营和代理各类商品及技术的进出口业务;天然纤维和人造纤维的纺织品、针织品、服装加工;家用服饰、纺织品、产业用纺织品的设计、开发、制造(限分支机构经营)、销售;本企业和本企业成员企业生产、科研所需的原辅料、机械设备、仪器仪表、零配件及相关技术的进出口业务(国家限定公司经营或禁止出口的商品除外);机电设备(特种设备除外)、新风净化器及配件的生产(限分支机构经营)、销售;经营本企业的进料加工;化学原料及产品(不含危险化学品及其他前置性行政许可项目);房屋租赁。(依法须经批准的项目经相关部门批准后方可开展经营活动),,,,,,,,,,,
000166,,资本市场服务,金融投资、股权投资等。投资管理、实业投资、股权投资、投资咨询、房屋租赁。(依法须经批准的项目经相关部门批准后方可开展经营活动),,,,,,,,,,,
000301,,化学原料和化学制品制造业,石化及化工新材料、聚酯化纤等产业领域。。一般项目:新材料技术研发;新材料技术推广服务;新兴能源技术研发;生物基材料技术研发;生物化工产品技术研发;资源再生利用技术研发;电子专用材料研发;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;工程和技术研究和试验发展;生物基材料制造;电子专用材料制造;高性能纤维及复合材料制造;合成纤维制造;热力生产和供应;生物基材料销售;石油制品销售(不含危险化学品);化工产品销售(不含许可类化工产品);成品油批发(不含危险化学品);专用化学产品销售(不含危险化学品);新型膜材料销售;合成材料销售;生态环境材料销售;电子专用材料销售;高性能纤维及复合材料销售;合成纤维销售;煤炭及制品销售;以自有资金从事投资活动;企业管理咨询;非居住房地产租赁;物业管理(除依法须经批准的项目外凭营业执照依法自主开展经营活动)限分支机构经营:发电业务、输电业务、供(配)电业务。,,,,,,,,,,,
000333,,电气机械和器材制造业,以家电产业为主，涉足电机、物流等领域，旗下分为四大业务板块，分别为大家电、小家电、电机及物流。。为消费者提供家用空调、中央空调、供暖及通风系统、厨房家电、冰箱、洗衣机、各类小家电等智能家居产品;以及提供商业及工业解决方案包括提供电梯、高低压变频器、医学影像产品、机器人及自动化系统等产品及服务;其他业务包括智能供应链、家电原材料销售、批发及加工业务以及吸收存款、同业拆借、消费信贷、买方信贷及融资租赁等金融业务。,,,,,,,,,,,
000338,,汽车制造业,生产及销售柴油机及相关零部件，以及为柴油机及配套产品的设计、开发、生产、销售及维修。发动机及配套产品汽车汽车车桥及零部件汽车变速器及零部件以及其他汽车零部件农业机械及农林牧渔机械配件液压泵、液压马达、液压阀门、齿轮和齿轮传动装置、液压元件附属铸件和铸造品、内燃机、新能源动力总成系统及配套产品的设计、开发、生产、销售、维修、进出口;技术咨询和技术服务;自有房屋租赁、钢材销售、企业管理服务;叉车生产、仓库技术及供应链解决方案服务。以上经营范围涉及行政许可的凭许可证经营。,,,,,,,,,,,
000401,,非金属矿物制品业,硅酸盐水泥制造。。生产和销售水泥、熟料以及石灰石开采和销售危险与固体废弃物的处置。,,,,,,,,,,,
000409,,软件和信息技术服务业,铁矿石开采、加工和铁精粉的销售。软件开发、网络技术服务互联网数据服务智能控制系统集成信息系统集成服务信息技术咨询服务物联网技术服务工程技术研究及发展通信设备制造、销售网络设备制造、销售卫星通信、导航服务卫星技术综合应用系统集成技术服务、开发、咨询、转让、推广等业务。,,,,,,,,,,,
000423,,医药制造业,经营和销售医药、化工和轻工产品。。许可证批准范围内的药品生产、销售许可证批准范围内的保健食品生产、销售许可证批准范围内的食品生产、销售预包装食品批发、零售许可范围内畜牧养殖、收购、销售;进出口业务;化工产品(不含易燃易爆危险品)销售;以自有资金对外投资;中药材种植、收购。,,,,,,,,,,,
000425,,专用设备制造业,工程机械、建筑工程机械及其配件。。土方机械、起重机械、桩工机械、混凝土机械、路面机械、高空作业机械、矿业机械、环卫机械、农业机械、应急救援装备和其他工程机械及备件的研发、制造、销售和服务工作。,,,,,,,,,,,
000428,,住宿业,酒店、餐饮、汽车出租等。。酒店商贸及洗涤、家政、物业、安保等生活服务业。主要产品或提供的劳务:酒店住宿和餐饮生活服务。,,,,,,,,,,,
000498,,土木工程建筑业,路桥工程施工和养护施工。。公路、市政施工、建筑、水利水电、电力施工、港航、铁路、机电施工等总承包业务路基、路面、桥梁、隧道、钢结构等专业施工承包业务以及工程勘察、测绘、设计、监理、咨询等业务同时拥有对外援助成套项目总承包的资质。,,,,,,,,,,,
000501,,零售业,百货的零售与批发。。百货、五金、交电、家具、其他食品、针纺织品、日用杂品、酒、西药、中成药、保健食品、建筑装饰材料、金银首饰零售兼批发;烟零售;装饰材料加工;家用电器维修、安装、配送;彩扩;干洗服务;花卉销售;蔬菜水果、水产品、肉禽加工、销售;蔬菜、水果、水产品、畜牧产品收购;粮油制售;复印、影印、打印;公开发行的国内版图书报刊零售;音像制品零售;会展服务;文化娱乐;通讯器材销售及售后服务;物业管理;设计、制作、发布、代理国内各类广告业务;公司自有产权闲置房的出租和销售(以上经营范围中涉及专项审批的项目限持有许可证的分支机构经营);场地出租;互联网信息服务;停车场管理;在线数据处理与交易处理业务;(仅限经营类电子商务不含互联网金融);公共设施、空调、水电、机电设备、通讯设备、电气设备、消防专用设备及相关设备的安装、维修、保养;管道安装及维修;房屋维修、养护;建筑装饰工程施工及设计;会议、礼仪策划和咨询;保洁服务;餐饮服务(仅限分支机构经营);医疗器械I、II、III类批发兼零售(仅限分支机构经营);农产品的销售。(依法须经审批的项目经相关部门审批后方可开展经营活动),,,,,,,,,,,
000503,,互联网和相关服务,化纤、服装及房地产、投资业务等。。医保基金综合管理服务、医疗质量安全服务、药械监管服务、互联网健康保障服务。,,,,,,,,,,,
000505,,农副食品加工业,植物油加工、食品制造及土地修复行业。食品、饮料、油脂、油料及其副产品、植物蛋白及其制品、有机肥料、微生物肥料、农业肥料的生产销售;土地整理、土壤修复;农业综合种植开发、畜牧及水产养殖业农业器械的生产和销售;计算机网络技术、通讯项目投资高新技术产品研制和开发应用;环保项目投资及咨询;动漫、平面设计;货物及技术进出口贸易;自有房屋的租赁。,,,,,,,,,,,
000513,,医药制造业,医药产品。。以医药产品的研发、生产及销售为主业产品涵盖制剂产品、原料药和中间体及诊断试剂及设备覆盖了消化道、辅助生殖、精神及肿瘤免疫等众多治疗领域。,,,,,,,,,,,
000516,,卫生,百货零售和医疗服务业。以大健康医疗服务和现代医学技术转化应用为主业旗下运营西安高新医院有限公司、西安国际医学中心有限公司等大型三甲综合性医疗机构构建全生命周期医疗大健康服务平台以及从事医疗相关其他社会服务业务。,,,,,,,,,,,
000517,,房地产业,房地产开发、经营。。房地产开发、经营;建设工程承包等。,,,,,,,,,,,
000521,,电气机械和器材制造业,电冰箱的研发制造和销售主营业务范围包括各种家用电冰箱和配套件的制造销售及服务其他家电产品的销售和服务。。电冰箱、冰柜及空调、洗衣机的生产与销售。,,,,,,,,,,,
000523,,农副食品加工业,浪奇和高富力等品牌的洗涤用品和磺酸、精甘油、AES等化工原料的开发、生产和销售。。食用糖和饮料等食品的生产和销售业务、场地租赁、物业管理及配套服务业务。,,,,,,,,,,,
000526,,教育,教育培训服务。技术推广服务;软件开发;教育教学检测和评价活动;教育咨询服务(不含涉许可审批的教育培训活动);以自有资金从事投资活动;企业管理;劳务服务(不含劳务派遣);信息系统集成服务;信息技术咨询服务;自有资金投资的资产管理服务;企业总部管理;休闲娱乐用品设备出租;体育用品设备出租;图书出租;音像制品出租;物业管理;非居住房地产租赁。(除依法须经批准的项目外凭营业执照依法自主开展经营活动)。主要产品和服务为教育培训服务。,,,,,,,,,,,
000528,,专用设备制造业,装载机、挖掘机、推土机等。。工程机械配套及制造;工程机械、道路机械、建筑机械、机床、电工机械、农业机械、空压机、农业机械销售、相关技术的开发、咨询服务和租赁业务;机器人系统集成;机器人本体及零部件制造、维修和服务;智能自动化系统及设备的设计、销售、安装及维护;石油化工及融资租赁等。,,,,,,,,,,,
000532,,综合,微电子；电力电子；环境保护产品的开发、生产及销售；电力生产和电力开发；实业投资及管理。。主要产品或服务为投资与管理、电子器件制造业、公共设施服务业、科技园区业务。,,,,,,,,,,,
000533,,电气机械和器材制造业,燃气具、干式变压器、塑料机械等。。主要产品或服务为输配电系列产品等业务。,,,,,,,,,,,
000536,,计算机、通信和其他电子设备制造业,新型平板显示器件。计算机、OLED平板显示屏、显示屏材料制造、通信设备、光电子器件、电子元件、其他电子设备、模具、电子和电工机械专用设备、医疗仪器设备及器械、输配电及控制设备的研发、设计、生产、销售和售后服务;对外贸易但国家限定公司经营或禁止进出口的商品和技术除外。(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,,,,,,,,,,
000538,,医药制造业,制造和销售以白药为主的各类药品。。化学原料药、化学药制剂、中成药、中药材、生物制品、医疗器械、保健食品、食品、饮料、特种劳保防护用品、非家用纺织成品、日化用品、化妆品、户外用品的研制、生产及销售;橡胶膏剂、贴膏剂、消毒产品、电子和数码产品的销售;信息技术、科技及经济技术咨询服务;货物进出口;物业经营管理(凭资质证开展经营活动)、药品的批发零售、物流配送等(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,,,,,,,,,,
000541,,电气机械和器材制造业,各类照明灯泡及相关器材。。照明产品、电工产品、车灯产品业务、外延及芯片产品、LED封装及组件产品和贸易及其他产品等。,,,,,,,,,,,
000547,,计算机、通信和其他电子设备制造业,发电机及各类发电设备，计算机信息业务等。。航天发展是一家以电子信息科技为主业致力于军用、民用产业领域的信息技术企业。公司突出强军首责、聚焦主责主业持续发展蓝军装备、通信与指控、海洋装备、电力装备、智能大数据应用、空间信息应用等产业领域。主要从事发电机及发电机组设计与制造;雷电防护、电磁防护产品设计与制造通信系统设备、终端设备设计与制造;射频仿真产品及配套设备设计与制造;航天工业相关设备设计与制造;计算机整机、零部件、应用电子设备设计与制造;专用仪器仪表设计与制造;电子测量仪器设计与制造;金属容器设计与制造;环境治理产品设计与制造;以及自有房地产经营和物业管理。,,,,,,,,,,,
000550,,汽车制造业,汽车合成及零配件等。。生产及销售汽车、专用(改装)车、发动机、底盘等汽车总成及其他零部件并提供相关售后服务;作为福特汽车(中国)有限公司的福特(FORD)E系列进口汽车品牌经销商从事上述品牌汽车的零售、批发;进出口汽车及零部件;二手车经销;提供与汽车生产和销售有关的企业管理、咨询服务。,,,,,,,,,,,
000551,,专用设备制造业,空气净化设备和工程、洁净环保产品、光机电测绘仪器、磨具磨料、高压绝缘子、电动车、轴承滚针、宾馆餐饮、国内外贸易、房地产开发等。洁净环保设备及工程、输配电高压绝缘子、精密轴承、测量仪器、磨具磨料和贸易及服务。,,,,,,,,,,,
000552,,煤炭开采和洗选业,煤炭生产、洗选、销售；发电；铁路专用线营运；建筑材料、矿山专用设备、机电设备的制造与销售（涉及行政许可的项目凭许可证经营）。煤炭开采、洗选、销售煤矿工程建设和检测服务发电、供电、供水服务以及化工产品生产销售等业务主要产品是各类煤炭产品、化工产品同时提供工程建设、发电、供水、供热、检测、运输等与煤炭行业相关的劳务。,,,,,,,,,,,
000555,,软件和信息技术服务业,金融自助设备及相关应用软件的研发、销售。。提供软件开发和技术服务、系统集成服务以及金融应用场景领域创新服务等。,,,,,,,,,,,
000557,,铁路运输业,铁路运输、仓储物流、葡萄酒、酒店餐饮。。铁路运输、供应链贸易服务、房地产租赁及葡萄酒销售业务。铁路运输货物主要为煤炭供应链贸易业务以铁路运输为依托充分利用自身优势为上下游客户提供采购、运输、仓储、销售、信息等服务。,,,,,,,,,,,
000560,,房地产业,商业零售业、房地产业、酒店旅游服务业、物业管理业务和经纪业务、新房业务、资管业务在内的房地产中介服务业务。。互联网技术研发和维护;信息技术开发、技术转让、技术咨询、技术服务;电子商务平台营运开发建设管理;数据处理;物流信息服务;物联网技术服务;房地产经纪业务;住房租赁经营;物业服务;建筑装修装饰工程的设计及施工;酒店管理;商场经营管理;商务信息咨询;进出口贸易;设计、制作、代理、发布各类广告(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,,,,,,,,,,
000561,,计算机、通信和其他电子设备制造业,国家军民用通信装备及电声器材科研生产。。电子产品、无线电通讯设备、电声器材、电子元器件、声像、电教产品、机电产品、电线电缆、北斗通信导航、卫星通信、物联网、计算机软件及信息系统集成、机动指挥通信系统、雷达产品及系统的研发、生产、销售;专用车(通信车、指挥车、电源车、餐车、抢险救援车、洗消车、化验车、检测车、监测车、宣传车)和集成信息系统的设计、生产、销售、安装、维修、技术服务、施工;自营和代理各类商品和技术的进出口业务(国家限制或禁止的除外);机械加工(专控除外);普通货运;餐饮、住宿、卷烟及日用小商品零售(仅限分公司凭许可证在有效期内经营)(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,,,,,,,,,,
000564,,零售业,百货的零售与批发。。商品批发零售及商业连锁经营、房地产开发及销售、持有型物业出租、小贷等金融类业务。,,,,,,,,,,,
000572,,汽车制造业,汽车产业投资、实业投资、证券投资、高科技项目投资、房地产投资等。。汽车产业投资、实业投资、证券投资、高科技项目投资、房地产投资、房地产开发经营、汽车及零配件的销售及售后服务汽车租赁仓储(危险品除外)机械产品、建筑材料、电子产品、仪器仪表、化工产品(专营及危险品除外)、家用电器、农副土特产品的销售。主要产品:7X、8S、7X-E、S7、S5等系列产品。,,,,,,,,,,,
000573,,房地产业,房地产。。开发经营工业区房地产开发开办外引内联企业及其咨询、洽谈业务;生产经营高科技产品、五金、交电、建筑装饰材技术咨询;水电安装及维修;建筑机电安装工程;代收缴水电费服务;原煤开采(另设分支机构经营);危险废.物经营货物进出口;技术进出口;再生资源回收(除生产性废旧金属);再生资源销售;再生资源加工;有色金属压延加工;有色金属合金制造;有色金属合金销售;电池销售;塑料制品销售;机械设备租赁;非居住房地产租赁;土地使用权租赁。,,,,,,,,,,,
